Movie ID,Title,Release Year,Genre,Box Office Gross ($),Production Budget ($),Lead Actor,Director
1,Expect local friend,2015,Thriller,480341423,56026676,Tracy Keith,William Holder
1,Expect local friend,2015,Thriller,480341423,56026676,Tracy Keith,William Holder
2,Director case discuss,2018,Romance,1206264595,293563230,Sarah Mcconnell,Brandon Gallagher
3,Base,2021,Drama,463382781,181707823,David Holland,Joshua Martin
4,Plan themselves glass,2022,Romance,1981614224,297374558,Jason Lopez,Derek Bradford
5,Understand near,2015,Thriller,622455910,125978655,David Holland,Clinton Harris
6,Above actually several sound,2020,Comedy,1508147647,39333930,Christina Reynolds,Brittany Webster
7,Parent dream,2023,Comedy,1811010706,31031457,Victoria Cherry,Andrea Anderson
8,Break morning,2020,Comedy,850613032,247344213,Anthony James MD,Kristen Wilson
9,Mrs view type,2021,Romance,471987740,75266288,Andrew Bennett,Mark Gross
10,Sea yourself style,2021,Romance,820521169,252282368,Angela Parker,Brandon Gallagher
11,Ball before,2023,Horror,1377454985,158571681,Kimberly Lopez,
12,See strong ground,2023,Horror,1960853367,161226325,Chad Perkins,Diane Meza
13,Necessary because,2023,Action,1050272770,?,Catherine Bush,Brittany Webster
14,Church herself push house,2016,Thriller,149632740,286994444,Anthony James MD,Kristen Wilson
15,Interest hear management,2021,Comedy,1622919657,108992155,Ann Grimes,Craig Parks
16,Case tax,2022,Action,138494574,298384352,Thomas Lee,
17,Movement food,2016,Action,153165001,150506343,Craig Arnold,Matthew Vega
18,Do since,2022,Comedy,1735086606,51640778,Amy Gonzalez,Sara Thompson
19,Nothing blood,2016,Action,729646787,59663364,John Kelly,Mr. Brent Bryan
20,Rich impact,2018,Horror,952616026,296453652,Ricky Alvarado,Brandon Gallagher
21,Go idea,2018,Comedy,1034709343,216306864,Christina Reynolds,Nancy Burns
22,Of appear threat,2022,Drama,1569748219,299375846,Karen Williams,Rachel Hunt
23,Full moment rule,2023,Action,123761493,?,Gerald Johnson,Christina Simmons
24,Husband before need,2016,Thriller,868101399,133185858,Victoria Cherry,Sara Thompson
25,Level energy respond,2020,Drama,1539010182,143600706,Veronica Wallace,Michelle Jones
